From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-04-19,35.91466666666667,83.65666666666667,6.9399999999999995,9.371999999999998,16.714000000000002,15.782,24.153333333333332,0.3446666666666667,16.476666666666667,0.47933333333333333,,0.4126666666666667,0.464,,66.0,1.352,204.21,0.0,,,26.77266666666667,0.0
2022-04-20,25.21166666666667,54.5225,5.610416666666667,9.953333333333333,15.491666666666667,9.597083333333334,22.995833333333334,0.33749999999999997,28.436363636363637,0.4708333333333334,,0.4041666666666666,0.45541666666666664,,89.16916666666667,1.0450000000000002,163.31875,0.0,,,18.951666666666664,0.55125
2022-04-21,20.565833333333334,46.87416666666667,5.677916666666667,7.692083333333334,13.694166666666668,10.921666666666667,23.010416666666668,0.30083333333333334,18.25764705882353,0.42250000000000004,,0.36166666666666664,0.4075,,75.36958333333332,0.895,201.2179166666667,0.0,,,23.01625,0.0
2022-04-22,27.38625,55.17541666666667,6.265833333333333,10.873333333333333,17.083333333333332,11.200000000000001,23.0725,0.42375,8.947142857142858,0.5933333333333334,,0.5091666666666667,0.57125,,90.80416666666667,0.6766666666666667,163.02,0.0,,,21.08375,0.2708333333333333
2022-04-23,31.21666666666667,68.6125,6.517083333333333,8.117083333333333,15.103333333333333,12.576666666666666,23.64,0.35250000000000004,14.383888888888887,0.49500000000000005,,0.42124999999999996,0.47541666666666665,,79.91375000000001,1.1225,196.70000000000002,0.0,,,24.066666666666666,0.0
2022-04-24,39.26208333333333,107.02666666666666,6.798749999999999,8.959166666666667,16.174166666666668,13.314583333333333,25.01625,0.325,20.618333333333336,0.45541666666666664,,0.39083333333333337,0.43875,,70.05166666666666,1.2245833333333334,194.48375,0.0,,,26.268333333333334,0.0016666666666666668
2022-04-25,38.1175,107.95916666666666,7.085416666666667,8.128333333333334,15.822083333333333,13.653333333333334,26.571250000000003,0.29958333333333337,27.02208333333333,0.42083333333333334,,0.35874999999999996,0.40625,,66.50833333333334,1.3391666666666666,227.78375000000003,0.0,,,26.617500000000003,0.00375
2022-04-26,50.094166666666666,117.72166666666668,7.466666666666666,8.779583333333333,16.867916666666666,14.26375,27.476249999999997,0.35541666666666666,20.650000000000002,0.4975,,0.4254166666666667,0.4795833333333333,,69.47333333333334,1.1166666666666667,193.21791666666664,0.0,,,26.654583333333335,0.0
2022-04-27,33.9075,79.14750000000001,7.0545,8.867999999999999,16.3965,12.856,27.053500000000003,0.28650000000000003,29.934500000000003,0.404,,0.344,0.3885,,68.449,1.2165,169.748,0.0,,,26.395,0.23850000000000002
2022-04-28,,,,,,,,,,,,,,,,,,,,,,
2022-04-29,55.04333333333333,131.68916666666667,10.200833333333334,9.786666666666667,19.33230769230769,18.171666666666667,27.2225,0.3915384615384615,29.52916666666667,0.5476923076923077,,0.5116666666666666,0.5725,,60.87416666666667,1.2908333333333333,213.56166666666664,0.0,,,29.790833333333335,0.0
2022-04-30,26.050833333333333,54.66,6.2004166666666665,9.520416666666668,15.862499999999999,10.700000000000001,26.335416666666664,0.29458333333333336,48.120416666666664,0.41291666666666665,,0.3529166666666667,0.39749999999999996,,78.01916666666666,1.3550000000000002,184.4366666666667,0.0,,,23.05541666666667,0.5795833333333333
2022-05-01,19.896666666666665,42.739583333333336,5.595,8.5975,14.362083333333333,8.008750000000001,25.011666666666667,0.27958333333333335,32.61833333333333,0.39083333333333337,,0.3329166666666667,0.3758333333333333,,83.26541666666667,0.9354166666666667,130.07541666666665,0.0,,,21.818749999999998,0.23750000000000002
2022-05-02,26.102083333333336,60.20666666666667,5.519166666666667,10.845833333333333,16.135,7.855,25.160416666666666,0.3545833333333333,38.62791666666667,0.4975,,0.42625,0.48,,84.02291666666666,0.8420833333333334,161.05833333333334,0.0,,,21.805000000000003,0.10291666666666667
2022-05-03,27.276666666666667,59.69777777777777,5.528888888888889,8.159444444444444,13.902777777777779,8.415555555555555,25.082222222222224,0.31055555555555553,34.21944444444445,0.4305555555555556,,0.37,0.4172222222222222,,80.40166666666667,1.031111111111111,149.70166666666668,0.0,,,22.971111111111114,0.4872222222222222
2022-05-04,,,,,,,,,,,,,,,,,,,,,,
2022-05-05,,,,,,,,,,,,,,,,,,,,,,
2022-05-06,,,,,,,,,,,,,,,,,,,,,,
2022-05-07,,,,,,,,,,,,,,,,,,,,,,
2022-05-08,,,,,,,,,,,,,,,,,,,,,,
2022-05-09,,,,,,,,,,,,,,,,,,,,,,
2022-05-10,,,,,,,,,,,,,,,,,,,,,,
2022-05-11,13.128333333333332,27.361428571428572,6.2375,7.715,14.41375,12.96125,25.325,0.2825,11.284,0.39625,,0.34125,0.38375000000000004,,90.945,0.9975,208.28,0.0,,,22.77375,0.8825
2022-05-12,14.440416666666666,24.72583333333333,5.979583333333333,8.724583333333333,14.964583333333335,11.5875,26.6875,0.27791666666666665,6.734347826086958,0.38875,,0.33375,0.3758333333333333,,96.44916666666667,0.8020833333333334,138.82125,0.0,,,21.72583333333333,1.0520833333333333
2022-05-13,25.189166666666665,45.54416666666666,7.154166666666666,9.421666666666667,17.03375,11.7875,26.871666666666666,0.42250000000000004,1.3022222222222224,0.5912499999999999,,0.5075,0.5704166666666667,,95.47125,0.6270833333333333,104.43624999999999,0.0,,,22.51625,0.21875
2022-05-14,24.08458333333333,40.975833333333334,6.164166666666667,9.87,16.137083333333333,11.465833333333334,26.411666666666665,0.40041666666666664,6.522857142857143,0.5583333333333333,,0.48,0.5404166666666667,,96.96708333333333,0.9387500000000001,115.96458333333334,0.0,,,21.3575,0.3745833333333333
2022-05-15,20.293333333333333,36.981249999999996,6.0616666666666665,8.635833333333332,14.977083333333333,11.485,26.61916666666667,0.34125,3.8674999999999997,0.47750000000000004,,0.41,0.4608333333333334,,93.57541666666667,0.8754166666666667,111.09583333333335,0.0,,,21.981666666666666,0.15333333333333335
2022-05-16,17.74833333333333,47.09833333333333,6.214583333333334,9.272499999999999,15.715416666666668,12.687083333333334,27.130416666666665,0.34375,11.917619047619048,0.4795833333333333,,0.41250000000000003,0.46416666666666667,,88.86541666666666,0.8475,129.47625,0.0,,,23.2375,0.125
2022-05-17,16.4375,39.5725,6.062083333333334,10.030833333333334,16.15458333333333,11.469999999999999,26.999583333333334,0.3520833333333333,11.724444444444444,0.4925,,0.42250000000000004,0.4741666666666666,,94.35041666666666,0.8920833333333333,162.72625,0.0,,,21.091666666666665,0.5404166666666667
2022-05-18,20.36375,36.90083333333333,5.879583333333334,9.59625,15.552916666666667,10.125416666666666,26.396666666666665,0.39208333333333334,12.766,0.5479166666666667,,0.47,0.5295833333333334,,96.05583333333334,0.8725,180.93916666666667,0.0,,,20.305416666666666,0.5554166666666667
2022-05-19,18.776190476190475,40.92190476190476,5.497619047619048,8.81904761904762,14.30142857142857,9.699523809523809,26.25238095238095,0.3333333333333333,24.923333333333336,0.46761904761904766,,0.40238095238095234,0.4519047619047619,,92.46761904761904,0.9276190476190477,195.89714285714285,0.0,,,20.972857142857144,0.5723809523809524
2022-05-20,22.03,64.54333333333334,5.82,9.385833333333332,15.265,12.789583333333333,27.874583333333334,0.38458333333333333,18.435625,0.5395833333333333,,0.4633333333333333,0.5204166666666666,,81.15875,0.7666666666666667,200.03916666666666,0.0,,,24.28,0.041666666666666664
2022-05-21,17.679583333333333,48.77458333333333,5.578333333333333,7.385833333333333,13.27625,12.391666666666666,28.5525,0.2625,18.557222222222222,0.36833333333333335,,0.315,0.35375,,81.51625,1.0133333333333334,195.61208333333332,0.0,,,23.65125,0.03125
2022-05-22,15.839166666666666,42.35125,4.962916666666667,7.254166666666666,12.390416666666667,12.311666666666667,29.35875,0.22666666666666668,17.807727272727274,0.31666666666666665,,0.27166666666666667,0.30541666666666667,,80.33416666666666,1.1404166666666666,193.92166666666665,0.0,,,24.265833333333333,0.17041666666666666
2022-05-23,25.34166666666667,76.82041666666667,4.29375,7.9425,12.107916666666666,13.472499999999998,30.612083333333334,0.2604166666666667,11.577619047619047,0.3670833333333334,,0.3125,0.3520833333333333,,75.57958333333333,1.0225,146.29916666666665,0.0,,,25.965416666666666,0.0
2022-05-24,21.716250000000002,67.67875,3.42625,8.143749999999999,11.185,14.132083333333334,32.187916666666666,0.24333333333333332,10.077916666666667,0.34,,0.2916666666666667,0.32875,,72.1675,0.9920833333333333,178.19125,0.0,,,27.232083333333335,0.007916666666666667
2022-05-25,17.299583333333334,48.21333333333333,2.9287500000000004,8.73625,11.061666666666667,12.812916666666666,31.87375,0.2525,8.994117647058824,0.3529166666666667,,0.3016666666666667,0.33916666666666667,,89.01041666666667,0.98375,180.09208333333333,0.0,,,23.851666666666663,0.19875
